lapNo,Charles Leclerc,Valtteri Bottas,Lewis Hamilton,Daniel Ricciardo,Nico Hulkenberg
1,"""1:26.573""","""1:28.001""","""1:27.298""","""1:30.436""","""1:29.232"""
2,"""1:25.194""","""1:25.586""","""1:25.433""","""1:26.483""","""1:26.920"""
3,"""1:24.954""","""1:25.135""","""1:25.000""","""1:26.108""","""1:26.026"""
4,"""1:24.949""","""1:25.158""","""1:25.151""","""1:25.549""","""1:26.031"""
5,"""1:24.907""","""1:25.315""","""1:25.234""","""1:25.345""","""1:26.743"""
6,"""1:24.900""","""1:24.999""","""1:24.713""","""1:26.246""","""1:26.331"""
7,"""1:25.062""","""1:25.063""","""1:24.915""","""1:26.043""","""1:26.090"""
8,"""1:25.024""","""1:25.210""","""1:24.892""","""1:25.887""","""1:26.133"""
9,"""1:24.987""","""1:24.941""","""1:25.122""","""1:25.907""","""1:26.024"""
10,"""1:25.010""","""1:24.642""","""1:24.857""","""1:25.695""","""1:25.934"""
11,"""1:24.926""","""1:24.818""","""1:24.999""","""1:25.686""","""1:25.681"""
12,"""1:24.682""","""1:24.973""","""1:24.814""","""1:25.705""","""1:25.713"""
13,"""1:24.907""","""1:24.971""","""1:25.021""","""1:25.558""","""1:25.721"""
14,"""1:24.975""","""1:25.193""","""1:25.156""","""1:25.509""","""1:25.806"""
15,"""1:24.938""","""1:25.284""","""1:24.972""","""1:25.536""","""1:25.671"""
16,"""1:24.896""","""1:25.069""","""1:24.769""","""1:25.426""","""1:25.539"""
17,"""1:24.935""","""1:24.673""","""1:24.888""","""1:25.498""","""1:25.565"""
18,"""1:24.900""","""1:24.915""","""1:25.041""","""1:25.327""","""1:25.790"""
19,"""1:25.289""","""1:24.989""","""1:29.456""","""1:25.803""","""1:25.585"""
20,"""1:28.847""","""1:25.014""","""1:43.243""","""1:25.538""","""1:25.563"""
21,"""1:44.216""","""1:25.128""","""1:24.723""","""1:25.451""","""1:25.797"""
22,"""1:24.499""","""1:24.929""","""1:24.196""","""1:25.427""","""1:25.930"""
23,"""1:24.659""","""1:24.847""","""1:24.924""","""1:25.381""","""1:27.736"""
24,"""1:24.121""","""1:24.970""","""1:24.258""","""1:25.470""","""1:25.965"""
25,"""1:24.497""","""1:25.115""","""1:24.220""","""1:25.654""","""1:25.862"""
26,"""1:23.532""","""1:25.199""","""1:23.915""","""1:27.263""","""1:25.758"""
27,"""1:23.858""","""1:29.671""","""1:23.724""","""1:25.396""","""1:25.726"""
28,"""1:23.739""","""1:43.415""","""1:23.834""","""1:25.763""","""1:27.756"""
29,"""1:39.724""","""1:38.335""","""1:39.524""","""1:40.158""","""1:43.757"""
30,"""1:23.848""","""1:22.896""","""1:24.425""","""1:30.457""","""2:00.021"""
31,"""1:47.237""","""1:46.262""","""1:46.845""","""1:56.981""","""1:33.766"""
32,"""1:23.865""","""1:24.019""","""1:23.592""","""1:24.432""","""1:25.180"""
33,"""1:24.076""","""1:23.537""","""1:24.164""","""1:25.111""","""1:25.322"""
34,"""1:23.614""","""1:23.651""","""1:23.711""","""1:25.368""","""1:25.185"""
35,"""1:23.779""","""1:23.494""","""1:23.659""","""1:25.034""","""1:24.757"""
36,"""1:24.046""","""1:23.115""","""1:24.127""","""1:25.193""","""1:24.768"""
37,"""1:24.023""","""1:23.371""","""1:24.027""","""1:25.039""","""1:24.891"""
38,"""1:23.705""","""1:23.179""","""1:23.510""","""1:24.904""","""1:24.730"""
39,"""1:23.402""","""1:23.173""","""1:23.756""","""1:25.012""","""1:24.291"""
40,"""1:23.777""","""1:23.316""","""1:23.891""","""1:24.864""","""1:24.361"""
41,"""1:23.295""","""1:23.016""","""1:23.360""","""1:24.765""","""1:24.351"""
42,"""1:23.723""","""1:23.378""","""1:26.028""","""1:24.667""","""1:24.093"""
43,"""1:23.270""","""1:23.011""","""1:23.813""","""1:24.635""","""1:23.813"""
44,"""1:23.273""","""1:22.974""","""1:23.961""","""1:24.223""","""1:23.878"""
45,"""1:23.331""","""1:23.078""","""1:23.574""","""1:24.504""","""1:23.943"""
46,"""1:23.349""","""1:23.874""","""1:23.796""","""1:25.363""","""1:24.018"""
47,"""1:23.009""","""1:22.859""","""1:24.125""","""1:24.158""","""1:24.007"""
48,"""1:23.205""","""1:23.137""","""1:24.101""","""1:23.524""","""1:24.132"""
49,"""1:23.166""","""1:23.070""","""1:28.687""","""1:23.803""","""1:24.061"""
50,"""1:23.679""","""1:22.971""","""1:44.537""","""1:23.919""","""1:23.835"""
51,"""1:23.145""","""1:23.816""","""1:21.779""","""1:23.948""","""1:23.742"""
52,"""1:23.426""","""1:22.961""","""1:24.122""","""1:23.562""","""1:23.659"""
53,"""1:23.722""","""1:23.784""","""1:25.982""","""1:23.466""","""1:23.641"""
