driverName,LapNo,LapTime
Lewis Hamilton,1,01:27.3
Lewis Hamilton,2,01:25.4
Lewis Hamilton,3,01:25.0
Lewis Hamilton,4,01:25.2
Lewis Hamilton,5,01:25.2
Lewis Hamilton,6,01:24.7
Lewis Hamilton,7,01:24.9
Lewis Hamilton,8,01:24.9
Lewis Hamilton,9,01:25.1
Lewis Hamilton,10,01:24.9
Lewis Hamilton,11,01:25.0
Lewis Hamilton,12,01:24.8
Lewis Hamilton,13,01:25.0
Lewis Hamilton,14,01:25.2
Lewis Hamilton,15,01:25.0
Lewis Hamilton,16,01:24.8
Lewis Hamilton,17,01:24.9
Lewis Hamilton,18,01:25.0
Lewis Hamilton,19,01:29.5
Lewis Hamilton,20,01:43.2
Lewis Hamilton,21,01:24.7
Lewis Hamilton,22,01:24.2
Lewis Hamilton,23,01:24.9
Lewis Hamilton,24,01:24.3
Lewis Hamilton,25,01:24.2
Lewis Hamilton,26,01:23.9
Lewis Hamilton,27,01:23.7
Lewis Hamilton,28,01:23.8
Lewis Hamilton,29,01:39.5
Lewis Hamilton,30,01:24.4
Lewis Hamilton,31,01:46.8
Lewis Hamilton,32,01:23.6
Lewis Hamilton,33,01:24.2
Lewis Hamilton,34,01:23.7
Lewis Hamilton,35,01:23.7
Lewis Hamilton,36,01:24.1
Lewis Hamilton,37,01:24.0
Lewis Hamilton,38,01:23.5
Lewis Hamilton,39,01:23.8
Lewis Hamilton,40,01:23.9
Lewis Hamilton,41,01:23.4
Lewis Hamilton,42,01:26.0
Lewis Hamilton,43,01:23.8
Lewis Hamilton,44,01:24.0
Lewis Hamilton,45,01:23.6
Lewis Hamilton,46,01:23.8
Lewis Hamilton,47,01:24.1
Lewis Hamilton,48,01:24.1
Lewis Hamilton,49,01:28.7
Lewis Hamilton,50,01:44.5
Lewis Hamilton,51,01:21.8
Lewis Hamilton,52,01:24.1
Lewis Hamilton,53,01:26.0
Kimi Räikkönen,1,01:37.4
Kimi Räikkönen,2,01:28.9
Kimi Räikkönen,3,01:27.8
Kimi Räikkönen,4,01:28.6
Kimi Räikkönen,5,01:28.7
Kimi Räikkönen,6,01:27.8
Kimi Räikkönen,7,01:28.6
Kimi Räikkönen,8,01:28.3
Kimi Räikkönen,9,01:26.2
Kimi Räikkönen,10,01:26.4
Kimi Räikkönen,11,01:26.8
Kimi Räikkönen,12,01:26.2
Kimi Räikkönen,13,01:26.7
Kimi Räikkönen,14,01:26.5
Kimi Räikkönen,15,01:27.4
Kimi Räikkönen,16,01:26.5
Kimi Räikkönen,17,01:26.5
Kimi Räikkönen,18,01:26.8
Kimi Räikkönen,19,01:31.1
Kimi Räikkönen,20,01:54.8
